program,August1st,August2nd,August3rd,August4th,August5th,August6th,August7th,August8th,August9th,August10th,August11th,August12th,August13th,August14th,August15th,August16th,August17th,August18th,August19th,August20th,August21st,August22nd,August23th,August24th,August25th,August26th,August27th,August28th,August29th,August30th,August31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,3,0,5,0,1,1,0,0,1,0,2,2,1,2,1,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),1,2,1,0,2,2,1,0,2,1,1,2,1,4,1,2,1,2,0,4,1,4,1,1,3,0,0,3,2,0,1
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
Architecture (UG),0,1,1,1,0,2,3,1,0,0,1,1,2,1,0,0,2,0,0,1,0,1,0,0,0,1,2,0,2,0,0
Business (PG),1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Business (UG),0,2,2,0,1,3,1,0,1,1,1,2,2,0,0,2,0,1,1,1,0,1,4,0,0,0,0,0,0,0,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),1,1,0,1,1,2,2,1,0,1,0,1,0,2,1,2,0,4,0,0,0,1,0,0,2,2,1,1,1,1,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,2,2,0,0,1,1,2,2,1,0
FOSSLA (UG),2,1,2,2,0,2,1,1,0,0,1,1,1,1,0,4,3,0,0,1,0,2,2,0,3,0,3,1,2,3,1
Foundation in Arts,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,2,1,1,1,0,0,0,0,0
FPS (UG),0,0,1,0,1,2,0,2,0,0,0,0,0,3,2,0,1,1,1,0,2,1,1,2,1,1,2,1,0,0,0
GBS (PG),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,2,0,0,1,0,0,0,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1
Hospitality (UG),1,1,1,1,1,0,0,0,1,1,3,0,1,0,0,2,2,0,1,3,0,1,1,0,1,2,0,4,0,2,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,1,1
IT (PG),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0
Master & PhD Programme,0,0,0,0,0,0,0,0,0,1,3,4,2,2,3,2,2,1,0,1,0,4,2,2,3,0,5,4,1,3,2
SEC-General Scholarship,4,1,3,4,3,2,1,7,6,4,2,4,5,5,4,4,1,5,7,3,2,2,5,1,2,6,2,1,0,6,2
SEC-Foundation,13,6,9,3,8,9,9,6,8,6,8,0,7,3,12,6,10,10,11,9,5,7,11,6,7,1,1,4,6,6,2
SEC-UEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-Open Day/Enrolment Day/Info Day,1,5,2,4,4,6,4,4,3,2,7,5,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
