program,April1st,April2nd,April3rd,April4th,April5th,April6th,April7th,April8th,April9th,April10th,April11th,April12th,April13th,April14th,April15th,April16th,April17th,April18th,April19th,April20th,April21st,April22nd,April23th,April24th,April25th,April26th,April27th,April28th,April29th,April30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),3,2,3,1,1,1,1,1,2,0,2,1,1,1,0,0,1,2,0,1,0,0,0,0,1,0,1,1,2,2
Business (PG),0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1
Business (UG),0,0,0,0,0,1,0,0,1,0,2,2,5,3,3,0,1,3,4,2,0,0,0,0,8,0,2,6,1,0
Engineering (PG),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Engineering (UG),1,1,0,2,0,2,0,0,1,1,1,1,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,2,0,1
FMHS (PG),0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,1,0,1,0,1,0,1,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,0
FOSSLA (UG),0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0
Foundation in Arts,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FPS (UG),2,2,2,2,3,1,3,1,3,1,3,2,2,2,3,1,2,1,2,1,0,0,0,0,5,4,8,4,0,6
GBS (PG),0,0,0,0,2,1,1,1,1,4,1,8,3,2,2,4,3,0,1,2,0,0,0,0,0,2,1,1,1,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hospitality (UG),2,1,0,0,0,3,1,3,2,3,2,3,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,3,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
IMUS (UG),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,0,0,0,0,0,1,0,1,2,1,0,0,0,3,1,2,2,0,1,1,1,1,2,1,2,2,0,0,0,0
SEC-Foundation,9,5,8,9,9,11,10,3,8,13,15,3,8,6,5,4,6,4,4,2,0,0,0,0,4,5,7,10,4,11
SEC-Diploma & Foundation,11,15,12,14,11,11,10,9,15,15,18,20,10,17,16,10,19,14,21,17,0,0,0,0,7,16,13,12,16,22
SEC-UEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,2,3,5,5
SEC-Open Day/Enrolment Day/Info Day,2,2,6,1,2,3,1,0,1,3,2,2,0,2,4,2,1,2,1,4,5,7,2,7,14,12,10,5,4,3
