program,January1st,January2nd,January3rd,January4th,January5th,January6th,January7th,January8th,January9th,January10th,January11th,January12th,January13th,January14th,January15th,January16th,January17th,January18th,January19th,January20th,January21st,January22nd,January23th,January24th,January25th,January26th,January27th,January28th,January29th,January30th,January31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Business (PG),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,0,0,0,0,0,2,0,2,1,2,0,1,0,0,0,1,4,1,0,2,0,0,0,0,0,1,0,1,1,0
FOSSLA (UG),0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,3,0,0,1,0,2,3,0,2,2,1,1,0,1,0,2
Foundation in Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Foundation in Science,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,2,0,3,1,0,0,1,4,0,2,0,1,3,1,0,1,1,0,0,1,1,2,1,1,0,2,1,1
GBS (PG),1,1,0,0,2,2,2,2,1,2,0,3,0,0,2,2,0,4,1,1,1,3,2,0,2,2,1,1,2,3,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hospitality (UG),0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,2,1,0,1,0,1,1,1,0,1,2,1,1,1,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,1,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,2,2,2
SEC-General Scholarship,0,3,3,7,4,5,4,0,2,2,1,4,1,2,4,0,2,1,4,1,1,0,1,1,5,2,2,3,1,1,4
SEC-Foundation,1,1,5,4,3,2,3,3,2,7,4,3,2,4,2,3,5,1,2,0,2,2,1,3,5,6,3,1,2,2,3
SEC-Diploma & Foundation,7,9,11,4,10,6,10,12,14,12,15,9,4,7,3,6,9,7,10,11,4,7,9,2,6,10,10,9,4,7,5
SEC-UEC,2,3,4,5,5,0,3,4,2,6,5,2,4,1,4,3,1,2,3,4,2,1,4,3,3,4,3,1,2,2,3
SEC-Open Day/Enrolment Day/Info Day,4,5,5,10,5,11,8,5,3,2,5,6,6,0,0,1,13,16,7,12,3,13,9,6,6,6,5,4,12,1,6
