program,November1st,November2nd,November3rd,November4th,November5th,November6th,November7th,November8th,November9th,November10th,November11th,November12th,November13th,November14th,November15th,November16th,November17th,November18th,November19th,November20th,November21st,November22nd,November23th,November24th,November25th,November26th,November27th,November28th,November29th,November30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),1,3,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),0,4,9,3,0,0,5,0,8,7,4,0,0,5,0,2,14,10,0,0,7,0,2,7,7,0,0,4,0,2
Engineering (PG),0,5,0,1,0,5,1,5,3,2,2,3,5,0,2,0,1,1,4,1,0,3,3,4,0,4,2,1,1,0
Engineering (UG),12,12,10,11,7,11,11,10,13,8,6,11,5,14,12,11,10,12,8,14,13,11,11,9,8,7,5,5,1,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (UG),21,11,8,16,6,5,8,7,3,1,3,1,4,5,4,0,1,3,2,3,5,8,3,2,1,4,2,1,4,0
Foundation in Arts,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),5,2,0,1,3,7,1,3,2,1,1,2,6,6,5,4,1,4,7,7,3,2,2,3,0,2,1,4,1,3
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,0,2,2,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,2,0,0,2,1,0,1,2,0,0,0,0,0,0,1,0,1,0,5,2,0,2,3,0,2,0,3,4,1,1
SEC-Foundation,4,0,3,1,2,3,0,1,1,0,2,0,1,3,2,3,2,0,0,11,5,4,2,4,4,3,11,8,4,8
SEC-Diploma & Foundation,8,5,5,5,3,3,11,5,3,3,3,7,5,7,9,8,6,7,6,7,11,7,14,4,7,8,9,14,6,2
SEC-MARA Scholarship,2,4,1,1,2,2,6,1,1,3,2,1,1,2,2,4,1,4,2,4,2,9,1,2,4,2,1,2,5,2
SEC-Open Day/Enrolment Day/Info Day,6,6,7,3,12,5,6,6,13,9,8,4,9,5,10,8,3,2,5,6,4,3,8,4,2,2,4,1,0,0
