program,February1st,February2nd,February3rd,February4th,February5th,February6th,February7th,February8th,February9th,February10th,February11th,February12th,February13th,February14th,February15th,February16th,February17th,February18th,February19th,February20th,February21st,February22nd,February23th,February24th,February25th,February26th,February27th,February28th,February29th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Architecture (UG),3,1,0,0,1,3,0,0,0,2,3,2,1,1,1,1,0,2,6,0,0,2,0,0,0,4,2,2,1
Business (PG),0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),2,3,1,0,1,0,3,1,4,2,0,1,4,1,3,6,5,0,3,5,2,3,3,1,4,0,4,2,1
Engineering (PG),0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),1,0,2,2,0,3,1,0,1,3,3,1,1,3,1,1,2,2,0,0,0,1,0,3,1,1,0,1,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,2,0,2,1,1,2,0,0,0,0,1,0,1,3,2,1,1,1,1,0,1,1,1,0,1,1,1,0
FOSSLA (UG),2,4,5,5,2,4,4,3,5,3,8,3,4,2,2,0,0,1,3,3,3,3,2,4,3,6,5,7,6
Foundation in Arts,0,2,0,0,2,0,1,0,0,0,1,0,2,0,1,4,1,0,0,2,0,2,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),1,1,1,0,1,2,1,3,1,1,1,5,0,0,1,1,3,3,1,2,1,0,2,3,2,5,0,1,1
Hospitality (PG),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),4,2,3,4,1,4,1,0,3,3,1,0,1,2,0,1,1,2,5,0,0,1,4,3,0,1,1,0,2
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,1,1,0,0,0,2,2,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,1,2,1,0
IMUS (UG),1,0,2,1,1,1,3,2,3,1,3,0,1,2,1,0,0,1,1,0,0,0,4,3,0,0,2,1,1
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,0,1,2,1,0,0,0,1,0,1,1,1,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,1,0,0
SEC-Foundation,1,1,2,4,5,5,1,3,4,3,1,4,5,6,3,3,6,6,3,3,5,6,1,2,4,6,9,13,9
SEC-Diploma & Foundation,8,2,16,5,7,11,5,6,4,3,4,10,10,11,11,3,8,7,8,8,5,3,7,7,4,8,13,9,10
SEC-MARA Scholarship,4,2,2,0,0,1,2,4,9,4,0,3,1,4,4,3,2,2,3,6,5,3,4,3,3,3,4,4,2
SEC-UEC,0,1,1,3,2,3,1,1,1,1,1,3,2,0,0,3,0,1,3,1,2,0,4,5,0,1,2,5,9
SEC-Open Day/Enrolment Day/Info Day,1,1,1,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
