program,June1st,June2nd,June3rd,June4th,June5th,June6th,June7th,June8th,June9th,June10th,June11th,June12th,June13th,June14th,June15th,June16th,June17th,June18th,June19th,June20th,June21st,June22nd,June23th,June24th,June25th,June26th,June27th,June28th,June29th,June30th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),2,2,0,0,2,2,3,3,4,4,2,1,1,2,2,3,0,2,2,6,4,1,3,2,0,0,0,2,4,1
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,3,2,1
Business (UG),2,0,0,4,0,0,2,2,0,0,3,0,1,3,7,0,0,2,0,1,3,1,0,0,2,0,0,3,3,0
Engineering (PG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
Engineering (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,2,1
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,3,2,2
FOSSLA (PG),0,3,0,1,3,3,1,1,1,1,1,0,2,0,2,1,2,0,0,0,0,0,0,1,1,1,0,1,0,2
FOSSLA (UG),10,4,11,6,9,10,5,7,10,16,7,5,11,5,7,11,6,12,10,5,3,8,8,8,4,5,6,11,7,5
Foundation in Arts,0,1,0,1,0,1,0,2,0,2,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,1
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,2,3,1,2,5,6,3,4,3,3,2,2,1,4,4,1,2,2,7,4,3,7,3,3,2,1
GBS (PG),4,3,8,4,1,5,2,1,5,4,3,5,2,2,17,4,4,2,1,4,4,3,5,5,1,3,4,2,3,7
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),5,0,2,5,0,4,2,1,1,1,5,2,1,0,3,1,2,0,1,2,1,1,0,1,0,1,4,3,3,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,5,5,6,6,11,13,10,10,11,7,7,7,5,2,5,6,2,7,3,6,3,0,2,1,3,0,0,1,2,3
SEC-Foundation,17,16,15,22,14,17,8,12,10,14,20,7,11,5,11,7,11,12,6,10,15,11,7,9,11,5,8,14,6,8
SEC-Diploma & Foundation,12,17,8,21,10,18,12,11,12,7,13,17,17,15,4,10,5,12,12,7,4,12,4,9,10,9,10,17,14,12
SEC-MARA Scholarship,13,8,17,5,6,11,6,7,10,10,6,5,8,11,7,3,4,5,3,7,12,8,4,10,6,8,4,6,9,6
SEC-UEC,5,8,9,6,9,14,6,7,8,10,7,6,5,9,6,4,4,0,5,10,3,3,4,4,6,6,3,4,4,4
SEC-Open Day/Enrolment Day/Info Day,3,0,2,5,4,3,1,2,3,9,3,2,1,6,0,3,1,0,2,2,8,0,0,0,0,0,0,0,0,0
