program,May1st,May2nd,May3rd,May4th,May5th,May6th,May7th,May8th,May9th,May10th,May11th,May12th,May13th,May14th,May15th,May16th,May17th,May18th,May19th,May20th,May21st,May22nd,May23th,May24th,May25th,May26th,May27th,May28th,May29th,May30th,May31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Architecture (UG),1,2,3,2,1,1,3,1,1,1,3,0,1,1,1,2,0,2,1,0,0,1,0,1,1,0,6,1,1,1,2
Business (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (UG),0,0,2,1,0,0,8,0,5,3,5,0,0,3,0,2,2,2,0,0,2,0,1,4,2,0,1,2,0,3,2
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,0,3,0,1,1,0,1,2,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,2,1,1,1,1,0
FOSSLA (UG),9,9,5,6,3,4,5,3,5,2,3,2,3,1,4,5,0,4,7,3,4,2,2,1,6,4,9,15,9,10,9
Foundation in Arts,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1
Foundation in Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),4,2,0,1,1,9,3,1,3,4,8,5,0,0,0,0,1,3,0,0,1,1,0,3,0,3,6,5,5,2,3
Hospitality (PG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hospitality (UG),0,1,1,1,2,6,0,1,1,3,1,2,0,0,2,1,1,2,0,5,0,1,1,0,0,1,0,2,1,5,1
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
SEC-General Scholarship,3,3,1,1,3,2,2,1,1,2,2,5,2,2,6,5,3,4,2,3,1,1,5,1,0,2,3,13,16,10,8
SEC-Foundation,7,6,7,2,2,12,11,9,4,5,7,11,9,5,7,7,10,4,2,6,9,3,5,7,6,3,13,16,21,17,15
SEC-Diploma & Foundation,5,2,17,11,4,4,11,10,10,10,5,7,7,7,5,3,3,1,7,3,6,7,8,4,6,4,35,36,29,14,13
SEC-MARA Scholarship,2,1,1,1,3,2,5,3,3,2,3,3,3,6,2,3,2,2,0,6,3,2,1,3,1,0,15,21,15,21,21
SEC-UEC,9,4,4,4,4,7,3,2,6,2,2,3,2,4,2,4,7,5,4,4,3,2,4,2,1,2,11,10,8,6,12
SEC-Open Day/Enrolment Day/Info Day,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8,4,5,2,1
